,_id,iterationName,phase,finalCount,GID,workerID,assignmentID,hitID,prolificID,studyID,sessionID,score,totalScore,trial,sectionTrial,num,base,targ,resp,correct,take,distractions,trialStartTime,takeStartTime,trialTime,takeTime,RT,WT,initTime,endTime,gender,age,comments,understood,totalLength,strategy,strategy_other,expt,cond,targetWord,targetNum,responseSide,responseNumber,responseWord,otherNumber,otherWord,missed,syntax,count,duplicate,failedGame,nonsenseGame,failedOutlier,distracted,distractedGame,manualExclude,incomplete,generalized,prim,add,mult,exp,feature_sum,maxrule,lexicon,gloss,targ_gloss,numSyls,normedWT,CT,freq
15284,63cd83bc58c4334a66b044cb,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.96,0.96,32.0,4.0,5.0,5.0,hu,hu,1.0,0.0,{},1674412988071.0,1674412988071.0,1027.0,1027.0,0.244,0.783,1674412829191.0,1674412989098.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",5,5,1.0,0.3915,0.6355,2
15287,63cd83bf58c4334a66b044cf,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.99,0.99,33.0,5.0,6.0,5.0,hu-ko,huko,1.0,0.0,{},1674412990104.0,1674412990104.0,1744.0,1744.0,0.258,1.486,1674412829191.0,1674412991848.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",5-1,5-1,2.0,0.3715,0.6295,1
15288,63cd83c158c4334a66b044d1,run1,quiz,False,194.0,,,,194.0,63cc988c2a276a3b63c222e6,63cd82c14591a1ba4aae1fd5,$0.35,0.35,15.0,3.0,3.0,5.0,so,te,0.0,0.0,{},1674412991380.0,1674412991380.0,2065.0,2065.0,1.252,0.813,1674412833937.0,1674412993445.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'te': 4.0, 'na': 1.0, 'ki': 5.0, 'hu': 2.0, 'so': 3.0}",4,3,1.0,0.4065,1.6585,0
15289,63cd83c258c4334a66b044d2,run1,quiz,False,195.0,,,,195.0,63cc988c2a276a3b63c222e6,63cd82d3d1db04dd3a8b1a7e,$0.21,0.21,7.0,0.0,1.0,5.0,ki,ki,1.0,0.0,{},1674412992247.0,1674412992247.0,2710.0,2710.0,1.966,0.744,1674412935900.0,1674412994957.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'se': 4.0, 'ki': 1.0, 'na': 2.0, 'to': 3.0, 'hu': 5.0}",1,1,1.0,0.372,2.338,0
15290,63cd83c358c4334a66b044d3,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$1.02,1.02,34.0,6.0,7.0,5.0,hu-na,huna,1.0,0.0,{},1674412992868.0,1674412992868.0,3018.0,3018.0,0.372,2.646,1674412829191.0,1674412995886.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",5-2,5-2,2.0,0.6615,1.0335,0
15298,63cd83d258c4334a66b044df,run1,quiz,False,195.0,,,,195.0,63cc988c2a276a3b63c222e6,63cd82d3d1db04dd3a8b1a7e,$0.27,0.27,9.0,2.0,3.0,5.0,to,to,1.0,0.0,{},1674413006103.0,1674413006103.0,5110.0,5110.0,2.909,2.201,1674412935900.0,1674413011213.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'se': 4.0, 'ki': 1.0, 'na': 2.0, 'to': 3.0, 'hu': 5.0}",3,3,1.0,1.1005,4.0095,0
15299,63cd83d458c4334a66b044e1,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$1.08,1.08,36.0,0.0,1.0,5.0,ko,ko,1.0,0.0,{},1674413011091.0,1674413011091.0,1302.0,1302.0,0.73,0.572,1674412829191.0,1674413012393.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",1,1,1.0,0.286,1.016,6
15300,63cd83d458c4334a66b044e2,run1,quiz,False,194.0,,,,194.0,63cc988c2a276a3b63c222e6,63cd82c14591a1ba4aae1fd5,$0.43,0.43,17.0,0.0,5.0,5.0,ki,ki,1.0,0.0,{},1674413008303.0,1674413008303.0,4492.0,4492.0,3.847,0.645,1674412833937.0,1674413012795.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'te': 4.0, 'na': 1.0, 'ki': 5.0, 'hu': 2.0, 'so': 3.0}",5,5,1.0,0.3225,4.1695,2
15301,63cd83d658c4334a66b044e4,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$1.11,1.11,37.0,1.0,2.0,5.0,na,na,1.0,0.0,{},1674413013403.0,1674413013403.0,934.0,934.0,0.297,0.637,1674412829191.0,1674413014337.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",2,2,1.0,0.3185,0.6154999999999999,6
15302,63cd83d858c4334a66b044e5,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$1.14,1.14,38.0,2.0,3.0,5.0,te,te,1.0,0.0,{},1674413015348.0,1674413015348.0,1118.0,1118.0,0.285,0.833,1674412829191.0,1674413016466.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",3,3,1.0,0.4165,0.7015,5
15304,63cd83da58c4334a66b044e7,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$1.17,1.17,39.0,3.0,4.0,5.0,si,si,1.0,0.0,{},1674413017471.0,1674413017471.0,1513.0,1513.0,0.712,0.801,1674412829191.0,1674413018984.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",4,4,1.0,0.4005,1.1125,4
15305,63cd83dc58c4334a66b044e8,run1,quiz,False,194.0,,,,194.0,63cc988c2a276a3b63c222e6,63cd82c14591a1ba4aae1fd5,$0.43,0.43,18.0,1.0,1.0,5.0,na,so,0.0,0.0,{},1674413013806.0,1674413013806.0,6579.0,6579.0,6.076,0.503,1674412833937.0,1674413020385.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'te': 4.0, 'na': 1.0, 'ki': 5.0, 'hu': 2.0, 'so': 3.0}",3,1,1.0,0.2515,6.3275,0
15306,63cd83dd58c4334a66b044ea,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$1.2,1.2,40.0,4.0,5.0,5.0,hu,hu,1.0,0.0,{},1674413019992.0,1674413019992.0,1483.0,1483.0,0.266,1.217,1674412829191.0,1674413021475.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",5,5,1.0,0.6085,0.8745,3
